I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
6412,Tsu,1965,3,22,22,56,28,58,6,,6,,,,,6,CHILE,,CHILE:  CENTRAL,-31.81,-71.26,160,,,,,,,,,,,,,,,,,,,,,,,,
4347,Tsu,1965,3,30,2,27,3.4,20,7.6,7.6,7.4,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,50.32,177.93,150,,,,,,,,,,,,,,,,,,,,,,,,
6413,Tsu,1965,6,11,3,34,2,,7.2,,7.2,6.6,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.7,148.7,50,,,,,,,,,,,,,,,,,,,,,,,,
6414,Tsu,1965,7,2,20,58,38.1,40,6.5,,6.5,7,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.03,-167.55,150,,,,,,,,1,,,,,,,,,,,,1,,,,
6415,Tsu,1965,7,6,3,18,42.7,18,6.3,,6.3,,,,,8,GREECE,,NORTH CORINTH GULF,38.267,22.3,130,1,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,
6416,Tsu,1965,8,11,22,31,45.9,13,7.6,7.6,7.3,,,,,,VANUATU,,VANUATU ISLANDS,-15.8,167.2,170,,,,,,,,2,,,,2,,,,,,,,2,,,,2
6595,Tsu,1965,8,13,12,40,32,33,7.3,,7.3,6.8,,,,,VANUATU,,VANUATU ISLANDS,-15.9,166.8,170,,,,,,,,,,,,,,,,,,,,1,,1,,
4356,Tsu,1965,8,23,19,46,2.9,28,7.8,,7.8,6.6,,,,,MEXICO,,"MEXICO:  ME\XICO CITY, OAXACA",16.3,-95.8,150,6,1,,,,,,1,,,,1,6,1,,,,,,1,,,,1
6417,Tsu,1965,10,3,16,14,56,28,6.5,,6.5,,,,,3,CHILE,,CHILE:  SOUTHERN,-42.9,-75.13,160,,,,,,,,,,,,,,,,,,,,,,,,
4360,Tsu,1966,3,12,16,31,21.8,48,8,,8,6.1,,,,,TAIWAN,,TAIWAN,24.1,122.6,30,7,1,,,10,1,,2,,2,,,7,1,,,10,1,,2,,2,,
4368,Tsu,1966,6,15,0,59,42.7,31,7.1,7.1,7.7,7.4,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  GUADALCANAL,-10.343,160.883,170,,,,,,,,,,,,,,,,,,,,,,,,
4371,Tsu,1966,7,12,18,53,,33,5.5,,5.5,,,,,6,RUSSIA,,RUSSIA:  BLACK SEA,44.75,37,40,,,,,,,,,,,,,,,,,,,,,,,,
4381,Tsu,1966,10,17,21,41,56,38,8.1,8.1,7.5,,,,,9,PERU,,"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS",-10.748,-78.638,160,110,3,,,3000,4,35,4,,,,,110,3,,,3000,4,35,4,,,,
4383,Tsu,1966,12,28,8,18,7.4,47,7.8,,7.8,,,,,8,CHILE,,"CHILE:  TALTAL, CATALINA",-25.5,-70.7,160,3,1,,,6,1,0.4,1,,3,,,3,1,,,6,1,0.4,1,,3,,
4386,Tsu,1966,12,31,18,23,11.1,83,7.8,7.8,7.5,7.3,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.893,166.445,170,,,,,,,,,,,,,,,,,,,,,,,,
7445,Tsu,1966,12,31,22,15,16.6,23,7.2,7.2,7.1,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.334,166.684,170,,,,,,,,,,,,,,,,,,,,,,,,
6596,Tsu,1967,3,19,4,1,38.5,38,7,,7,,,,,8,RUSSIA,,RUSSIA:  KURIL ISLANDS,45.53,151.11,50,,,,,,,,,,,,,,,,,,,,,,,,
4396,Tsu,1967,4,11,5,9,12.1,33,5.5,,5.5,,,,,,INDONESIA,,INDONESIA:  MAKASSAR STRAIT,-3.7,119.3,170,58,2,,,100,2,,2,,2,,,71,2,,,100,2,,2,,2,,
4397,Tsu,1967,4,12,4,51,50.2,100,6.1,,6.1,,,,,,INDONESIA,,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",5.5,97.3,170,14,1,,,,,,3,2000,4,,,14,1,,,,,,3,2000,4,,
4410,Tsu,1967,7,29,23,59,58.7,10,6.5,,6.5,,,,,8,VENEZUELA,,VENEZUELA,10.6,-67.3,90,300,3,,,1536,4,140,4,,,,,300,3,,,1536,4,140,4,,,,
4415,Tsu,1967,8,13,22,15,10,30,6.4,,6.4,,,,6.2,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4.4,152.5,170,,,,,,,,3,,,,,,,,,,,,,,,,
6420,Tsu,1967,9,3,21,7,30.8,40,7,,7,,,,,,PERU,,PERU:  OFF COAST,-10.6,-79.8,160,,,,,,,,,,,,,,,,,,,,,,,,
6421,Tsu,1967,11,15,21,32,54,35,5.9,,5.9,,,,,,CHILE,,CHILE:  NORTHERN,-28.78,-71.19,160,,,,,,,,,,,,,,,,,,,,,,,,
6630,Tsu,1967,12,21,2,25,23,33,7.5,,7.5,,,,,,CHILE,,CHILE:  NORTHERN,-21.7,-69.5,160,1,1,,,,3,,2,,2,,,1,1,,,,3,,2,,2,,
6422,Tsu,1968,1,29,10,19,7.2,40,7.3,7.3,7.3,,,,,,RUSSIA,,RUSSIA:  S. KURIL ISLANDS,43.586,146.701,50,,,,,,,,,,,,,,,,,,,,,,,,
4428,Tsu,1968,2,19,22,45,45.7,15,7.2,7.2,7.5,7.1,,,,10,GREECE,,GREECE:  AEGEAN SEA:  ST EUSTRATIOS,39.368,24.957,130,20,1,,,18,1,0.6,1,500,3,1951,4,20,1,,,18,1,0.6,1,500,3,1951,4
4432,Tsu,1968,4,1,0,42,4.2,30,7.5,,7.5,,,,,7,JAPAN,,"JAPAN:  KYUSHU, SHIKOKU",32.3,132.5,30,1,1,,,22,1,,2,,2,,,1,1,,,22,1,,2,,2,,
9992,Tsu,1968,4,18,19,38,15,7,4.6,4.6,,4.1,,,,6,ITALY,,ITALY:  LIGURIA,44.08,8,130,,,,,,,,,,,,,,,,,,,,,,,,
4438,Tsu,1968,5,16,0,48,55.4,7,8.2,8.2,,,,,7.9,6,JAPAN,,JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,30,52,2,,,330,3,,3,689,3,,,52,2,,,330,3,131,4,1218,4,,
4439,Tsu,1968,5,16,10,39,1.6,33,7.5,,,,,,7.5,,JAPAN,,JAPAN:  OFF COAST OF HONSHU ISLAND,41.5,142.7,30,,,,,,,,,,,,,,,,,,,,,,,,
4443,Tsu,1968,6,12,13,41,50.7,44,7.2,,7.2,6,,,,,JAPAN,,JAPAN:  SANRIKU,39.4,143.1,30,,,,,,,,,,,,,,,,,,,,,,,,
4447,Tsu,1968,7,25,7,23,7.8,60,7.3,,7.3,,,,,,KERMADEC ISLANDS (NEW ZEALAND),,"KERMADEC ISLANDS:  S OF, RAOUL",-30.8,-178.4,170,,,,,,,,1,,,,,,,,,,,,,,,,
4448,Tsu,1968,8,1,20,19,21.9,36,7.3,,7.3,,,,,,PHILIPPINES,,PHILIPPINES:  LUZON:  MANILA,16.5,122.2,170,270,3,,,261,3,8,3,,1,,3,270,3,,,261,3,8,3,,1,,3
6423,Tsu,1968,8,5,7,17,,10,,,,,,,,,JAPAN,,JAPAN:  SEIKAIDO-NANKAIDO,33.3,132.2,30,,,,,,,,,,,,,,,,,,,,,,,,
4452,Tsu,1968,8,10,2,7,4.3,25,7.6,,7.6,,,,,,INDONESIA,,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",1.4,126.2,170,,,,,,,,1,,,,,,,,,,,,1,,,,
4454,Tsu,1968,8,14,22,14,19.4,23,7.4,,,,,,7.4,8,INDONESIA,,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",0.2,119.8,170,,,,,,,,,,,,,200,3,,,58,2,,3,800,3,,
4460,Tsu,1968,9,3,8,19,52.2,38,6.6,,6.6,,,,,8,TURKEY,,"TURKEY:  BARTIN, AMASRA, CAKRAZ",41.8,32.3,140,24,1,,,200,3,,3,2000,4,2000,4,24,1,,,200,3,,3,2000,4,,
4463,Tsu,1968,9,20,6,,    ,107,6.2,,,,,,6.2,9,VENEZUELA,,VENEZUELA:  CARUPANO,10.5,-62.6,90,3,1,,,,,,2,,,,,,,,,,,,,,,,
4465,Tsu,1968,9,25,10,38,    ,114,5.7,,,,,,5.7,,MEXICO,,MEXICO-GUATEMALA:  S CHIAPAS,15.5,-92.7,150,20,1,,,,,,2,,,,,,,,,,,,,,,,
4476,Tsu,1969,2,23,0,36,56.6,13,7.4,,7.4,,,,,,INDONESIA,,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.1,118.9,170,64,2,,,97,2,,3,1287,4,,,664,3,,,97,2,,3,1287,4,,
4477,Tsu,1969,2,28,2,40,32.5,22,7.8,7.8,7.3,,,,,7,PORTUGAL,,"PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS",36.017,-10.95,130,13,1,,,80,2,,2,,,,,113,1,,,80,2,,2,,,,
4486,Tsu,1969,3,31,7,15,54.4,33,7,,7,,,,,,EGYPT,,"EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)",27.7,34,15,2,1,,,16,1,,3,107,3,,,2,1,,,16,1,,3,107,3,,
6425,Tsu,1969,4,21,7,19,,41,,,,,,,,,JAPAN,,JAPAN:  RYUKYU ISLANDS,32.2,132.1,30,,,,,,,,,,,,,,,,,,,,,,,,
6597,Tsu,1969,8,2,4,30,29,17,5.4,,5.4,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-6.6,146.9,170,,,,,,,,,,,,,,,,,,,,,,,,
4494,Tsu,1969,8,11,21,26,36,30,8.2,8.2,7.8,,,,8.2,9,RUSSIA,,"RUSSIA:  SHIKOTAN ISLAND, KURILSKIYE",43.6,147.9,50,,,,,,,,2,,,,,,,,,,,,2,,,,
4509,Tsu,1969,11,22,23,9,37,51,7.3,,7.3,,,,7.7,10,RUSSIA,,RUSSIA:  OFF KAMCHATKA,57.7,163.6,50,,,,,,,,1,,,,,,,,,,,,1,,,,
4511,Tsu,1969,12,25,21,32,27.3,7,7.2,,7.2,,,,,6,GUADELOUPE,,GUADELOUPE: GRAND BOURG,15.8,-59.7,90,,,,,,,,1,,,,,,,,,,,,,,,,
4514,Tsu,1970,1,10,12,7,8.6,73,7.6,,7.6,7.1,,,,6,PHILIPPINES,,PHILIPPINES:  MINDANAO,6.8,126.7,170,,,,,,,,,,,,,,,,,,,,,,,,
7654,Tsu,1970,3,11,22,38,34.6,29,6,,6,,,,,5,USA,AK,ALASKA:  ANDREANOF ISLANDS,57.5,-153.9,150,,,,,,,,1,,,,,,,,,,,,1,,,,
4526,Tsu,1970,4,7,5,34,5.6,40,7.3,,7.3,6.5,,,,6,PHILIPPINES,,PHILIPPINES:  LUZON,15.78,121.71,170,15,1,,,200,3,,2,,,,,15,1,,,200,3,,2,,,,
4530,Tsu,1970,5,14,18,12,,44,6.5,,6.5,,,,,8,RUSSIA,,RUSSIA:  DAGESTAN,43,47.1,40,,3,,,,,,3,,2,,2,,3,,,,,,3,,2,,
4531,Tsu,1970,5,31,20,23,27.3,43,7.9,7.9,7.8,,,,,10,PERU,,"PERU: NORTHERN, PISCO, CHICLAYO",-9.2,-78.8,160,66794,4,,,50000,4,530,4,,3,,3,66794,4,,,50000,4,530,4,,3,,
6427,Tsu,1970,6,14,,,,10,6,,6,,,,,,CHILE,,CHILE:  SOUTHERN,-52,-73.8,160,,,,,,,,,,,,,,,,,,,,,,,,
6428,Tsu,1970,6,19,10,56,13.5,44,6.4,,6.4,6.1,,,,,CHILE,,CHILE:  NORTHERN,-22.28,-70.55,160,,,,,,,,,,,,,,,,,,,,,,,,
6430,Tsu,1970,7,25,22,41,10.7,34,7,,7,,,,,,JAPAN,,"SEIKAIDO, JAPAN",32.2,131.7,30,,,,,13,1,,1,,,,,,,,,13,1,,1,,,,
6328,Tsu,1970,9,28,19,1,,,5.1,,5.1,,,,,,NEW ZEALAND,,NEW ZEALAND,-44.64,173.62,170,,,,,,,,,,,,,,,,,,,,,,,,
4547,Tsu,1970,9,30,9,52,22.7,33,5.3,,5.3,,,,,7,PHILIPPINES,,"PHILIPPINES:  BATAN ISLANDS:  BASCO, SABTANG",20.6,122,170,,,,,,,,2,,3,,3,,,,,,,,2,,3,,
4550,Tsu,1970,10,31,17,53,7.1,8,7.3,,7.3,7.1,,,,8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  MADANG,-4.907,145.471,170,15,1,,,20,1,1.75,2,800,3,800,3,18,1,,,20,1,1.75,2,800,3,,
6432,Tsu,1970,11,28,11,8,40,33,6,,6,5.8,,,,,CHILE,,CHILE:  NORTHERN,-20.94,-69.81,160,,,,,,,,,,,,,,,,,,,,,,,,
6555,Tsu,1970,12,4,1,59,25,7,5.1,,5.1,,,,,,RUSSIA,,RUSSIA:  BLACK SEA,43.84,39.34,40,,,,,,,,,,,,,,,,,,,,,,,,
6433,Tsu,1971,5,2,6,8,27.3,43,7.1,,7.1,6,,,,6,USA,AK,ALASKA:  ANDREANOF ISLANDS,51.4,-177.2,150,,,,,,,,,,,,,,,,,,,,,,,,
4572,Tsu,1971,7,9,3,3,18.7,58,7.8,7.8,7.5,6.6,,,,9,CHILE,,CHILE:  CENTRAL,-32.5,-71.2,160,83,2,,,447,3,236.4,4,,3,,,83,2,,,447,3,236.4,4,,3,,
4574,Tsu,1971,7,14,6,11,29.1,47,7.9,,7.9,,,,,9,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,-5.5,153.9,170,2,1,,,5,1,,1,,,,,3,1,,,5,1,,1,,,,
4576,Tsu,1971,7,26,1,23,21.3,48,7.9,,7.9,6.3,,,,6,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA  RABAUL,-4.9,153.2,170,,,,,,,,,,,,,,,,,,,,2,,,,
6434,Tsu,1971,8,2,7,24,56.8,51,7.3,,7.3,6.6,,,,,JAPAN,,JAPAN TRENCH,41.4,143.5,30,,,,,,,,1,,,,,,,,,,,,1,,,,
4582,Tsu,1971,9,5,18,35,25,9,7.1,,7.1,6.3,,,,9,RUSSIA,,"RUSSIA:  SAKHALIN, MONERON ISLAND",46.5,141.2,50,,,,,,,,1,,,,,,,,,,,,1,,,,
6435,Tsu,1971,9,6,13,37,10.8,29,5.5,,5.5,6.1,,,,,RUSSIA,,RUSSIA:  KHOLMSK,46.7,141.4,50,,,,,,,,,,,,,,,,,,,,,,,,
6436,Tsu,1971,9,8,11,48,23.4,6,6.6,,6.6,5.9,,,,,RUSSIA,,RUSSIA:  TATAR STRAIT,46.4,141.2,50,,,,,,,,,,,,,,,,,,,,,,,,
6548,Tsu,1971,9,8,16,59,52.6,16,6.2,,6.2,5.9,,,,,RUSSIA,,RUSSIA:  TATAR STRAIT,46.3,140.9,50,,,,,,,,,,,,,,,,,,,,,,,,
6437,Tsu,1971,9,25,4,36,14,115,7,,7,6.3,,,,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-6.5,146.6,170,,,,,,,,1,,,,,,,,,,,,1,,,,
7402,Tsu,1971,9,27,19,1,45.3,21,6.1,,6.1,5.9,,,,,RUSSIA,,"RUSSIA:  SAKHALIN, MONERON ISLAND",46.4,141.1,50,,,,,,,,,,,,,,,,,,,,,,,,
6438,Tsu,1971,11,6,22,0,0.1,2,5.7,,5.7,6.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.5,179.1,150,,,,,,,,,,,,,,,,,,,,,,,,
4588,Tsu,1971,12,15,8,29,55.3,33,7.8,,7.8,6.1,,,7.8,10,RUSSIA,,"RUSSIA:  OFF KAMCHATKA, SHEMYA, ATTU",56,163.3,50,,,,,,,,,,,,,,,,,,,,,,,,
4590,Tsu,1972,1,25,2,6,23.3,33,7.5,,7.5,6.3,,,,6,TAIWAN,,TAIWAN,22.5,122.3,30,1,1,,,,,,1,5,1,,,1,1,,,,,,1,5,1,,
4595,Tsu,1972,2,29,9,22,59.8,56,7.2,,7.2,6.3,,,,10,JAPAN,,"JAPAN:  S OF HONSHU:  HACHIJOJIMA, TOKYO",33.3,140.8,30,,,,,,,,2,,,,,,,,,,,,,,,,
6440,Tsu,1972,6,8,18,53,41.7,39,6.6,,6.6,6.2,,,,7,CHILE,,CHILE:  CENTRAL,-30.5,-71.8,160,,,,,,,,,,,,,,,,,,,,,,,,
4609,Tsu,1972,7,30,21,45,14.1,25,7.6,,7.6,6.5,,,7.6,7,USA,AK,"ALASKA:  SITKA, JUNEAU",56.82,-135.68,150,,,,,,,,1,,,,,,,,,,,,1,,,,
6441,Tsu,1972,8,17,23,44,5.9,10,7.1,,7.1,6.4,,,,5,SOLOMON SEA,,W. SOLOMON SEA,-6,152.9,170,,,,,,,,,,,,,,,,,,,,,,,,
4616,Tsu,1972,12,2,0,19,47.2,73,7.4,,7.4,6.3,,,7.8,6,PHILIPPINES,,"PHILIPPINES:  MINDANAO, DAVAO",6.5,126.6,170,,,,,,,,1,,,,,,,,,,,,1,,,,
4617,Tsu,1972,12,4,10,16,12,66,7.4,,7.4,6.6,,,,10,JAPAN,,"JAPAN:  S OF HONSHU, HACHIJOJIMA",33.3,140.7,30,,,,,,,,1,,,,,,,,,,,,2,,,,
6442,Tsu,1972,12,29,4,51,1.6,60,5.4,,5.4,5.1,,,6,,CHILE,,CHILE:  CENTRAL,-30.6,-71,160,,,,,,,,,,,,,,,,,,,,,,,,
4622,Tsu,1973,1,30,21,1,12.5,43,7.5,,7.5,6.2,,,,,MEXICO,,"MEXICO:  S, FARIAS, TECOMAN",18.48,-103,150,56,2,,,390,3,,2,,2,,,56,2,,,390,3,,2,,2,,
4629,Tsu,1973,2,28,6,37,49.5,27,7.2,,7.2,6.3,,,,8,RUSSIA,,"RUSSIA:  KURIL ISLANDS, HIROO, URAKAWA",50.5,156.6,50,,,,,,,,2,,,,,,,,,,,,2,,,,
4632,Tsu,1973,3,17,8,30,51.8,33,7.5,,7.5,5.6,,,,9,PHILIPPINES,,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",13.4,122.8,170,15,1,,,64,2,0.45,1,,,,,15,1,,,64,2,0.45,1,,,,
4638,Tsu,1973,6,17,3,55,2.9,48,7.7,,7.7,6.5,,,7.7,8,JAPAN,,JAPAN:  HOKKAIDO ISLAND,43.2,145.8,30,,,,,27,1,5,2,2,1,,,27,1,,,,,5,2,2,1,,
4639,Tsu,1973,6,24,2,43,25.5,50,7.1,,7.1,6.3,,,,8,RUSSIA,,RUSSIA:  KURIL ISLANDS,43.3,146.4,50,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
7801,Tsu,1973,6,26,22,32,0.2,50,6.6,,6.6,5.8,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS:  S,43.2,146.6,50,,,,,,,,,,,,,,,,,,,,,,,,
4644,Tsu,1973,10,5,5,47,51.1,14,6.7,,6.7,5.8,,,,7,CHILE,,"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,160,,,,,,,,2,,,,,,,,,,,,,,,,
6443,Tsu,1974,1,31,23,30,5.3,34,7,,7,6,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.5,155.9,170,,,,,,,,,,,,,,,,,,,,,,,,
6598,Tsu,1974,2,1,3,12,33.1,40,7.1,,7.1,6.2,,,,6,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.4,155.6,170,,,,,,,,,,,,,,,,,,,,2,,,,
4656,Tsu,1974,5,8,23,33,25.2,2,6.5,,6.5,6,,,,9,JAPAN,,JAPAN:  NAKAGI,34.5,138.7,30,30,1,,,102,3,,2,134,3,,,27,1,,,102,3,,2,134,3,,
6444,Tsu,1974,8,18,10,44,12.8,36,7.1,,7.1,5.9,,,,6,CHILE,,"CHILE:  LA UNION, VALDIVIA",-38.5,-73.4,160,,,,,,,,1,,,,,,,,,,,,1,,,,
6445,Tsu,1974,9,27,5,47,29.4,43,6.7,,6.7,6,,,,4,RUSSIA,,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.2,146.7,50,,,,,,,,,,,,,,,,,,,,,,,,
4666,Tsu,1974,10,3,14,21,29.1,13,8.1,8.1,7.6,6.6,,,,9,PERU,,"PERU:  LIMA, CALLAO",-12.27,-77.79,160,78,2,,,2414,4,10,3,,3,,,78,2,,,2414,4,10,3,,3,,
4671,Tsu,1974,12,28,12,11,43.7,22,6.2,,6.2,6,,,,7,PAKISTAN,,"PAKISTAN:  BALAKOT, PATAN",35.1,72.9,60,5300,4,,,17000,4,3.255,2,,3,,3,5300,4,,,17000,4,3.255,2,,3,,
4676,Tsu,1975,1,15,9,42,24,,5.9,,5.9,,,,,7,INDONESIA,,INDONESIA:  MALUKU:  BANDANAIRA,-5,130,170,,,,,,,,2,81,2,6,1,,,,,,,,2,81,2,6,1
6447,Tsu,1975,3,13,15,26,42.5,4,6.9,,6.9,6.2,,,,8,CHILE,,"CHILE:  COQUIMBO, LA SERENA",-29.9,-71.3,160,2,1,,,25,1,,1,,,,,2,1,,,25,1,,1,,,,
4691,Tsu,1975,5,26,9,11,51.5,33,7.7,7.7,7.9,6.7,,,,6,ATLANTIC OCEAN,,ATLANTIC OCEAN:  MADERIA ISLANDS,35.997,-17.649,70,,,,,,,,1,,,,,,,,,,,,1,,,,
6449,Tsu,1975,6,10,13,47,14.5,15,7,,7,5.8,,,,,RUSSIA,,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.024,147.734,50,,,,,,,,,,,,,,,,,,,,,,,,
4694,Tsu,1975,7,20,14,37,39.9,49,7.9,,7.9,6.6,,,,8,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA: BOUGAINVILLE,-6.59,155.054,170,,,,,,,,3,,2,,,,,,,,,,3,,2,,
4703,Tsu,1975,10,31,8,28,2.6,50,7.6,,7.6,6.4,,,,6,PHILIPPINES,,PHILIPPINES,12.54,125.993,170,1,1,,,,,,,,,,,1,1,,,,,,1,30,1,,
4704,Tsu,1975,11,29,14,47,40.9,2,7.7,7.7,7.2,6,,,,9,USA,HI,HAWAII,19.451,-155.033,150,,,,,,,4,2,,,,,2,1,,,,,4,2,,3,,
4705,Tsu,1975,12,26,15,56,38.7,33,7.8,,7.8,6.4,,,7.8,5,SAMOA,,SAMOA ISLANDS,-16.265,-172.467,170,,,,,,,,,,,,,,,,,,,,,,,,
4709,Tsu,1976,1,14,16,47,33.5,33,8,,8,6.5,,,8.2,,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,-28.427,-177.657,170,,,,,,,,1,,,,,,,,,,,,,,,,
6450,Tsu,1976,1,21,10,5,24.1,41,7,,7,6.3,,,,5,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.915,149.123,50,,,,,,,,,,,,,,,,,,,,,,,,
4711,Tsu,1976,2,4,9,1,43.4,5,7.5,,7.5,6.2,,,,9,GUATEMALA,,"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY",15.324,-89.101,90,23000,4,,,76000,4,2147,4,,,,,23000,4,,,76000,4,2147,4,,,,
4739,Tsu,1976,8,16,16,11,7.3,33,8,8,7.9,6.4,,,,6,PHILIPPINES,,PHILIPPINES:  MINDANAO:  S,6.292,124.09,170,1200,4,,,3500,4,134,4,,,,,8000,4,,,10000,4,134,4,,,,
4769,Tsu,1977,4,2,7,15,22.7,33,7.6,,7.6,6.8,,,,6,SAMOA,,SAMOA ISLANDS:  APIA,-16.696,-172.095,170,,,,,,,,1,,,,,,,,,,,,1,,,,
6798,Tsu,1977,4,20,23,13,10.4,33,6.8,,6.8,6.4,,,,6,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.828,160.323,170,34,1,,,,,,3,,,,,34,1,,,,,,3,,,,
6797,Tsu,1977,4,20,23,42,50.5,19,7.6,,7.6,6.3,,,,7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.89,160.348,170,,,,,,,,1,,,,,,,,,,,,1,,,,
4774,Tsu,1977,4,21,4,24,9.6,33,8.1,,8.1,6.6,,,,7,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.965,160.731,170,18,1,,,1,1,,3,,,,,18,1,,,1,1,,3,,,,
4777,Tsu,1977,6,22,12,8,33.4,65,7.2,,7.2,7.2,,,7.2,4,TONGA,,TONGA TRENCH,-22.878,-175.9,170,1,1,,,5,1,1.2,2,,,,,,,,,,,,,,,,
4779,Tsu,1977,8,19,6,8,55.2,33,8,,8,7,,,,,INDONESIA,,INDONESIA:  SUNDA ISLANDS,-11.085,118.464,170,,,,,,,,1,,,,,189,3,,,75,2,1.2,2,,,,
6452,Tsu,1977,8,28,20,10,5,33,5.5,,5.5,5.2,,,,4,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  ADMIRALTY ISLANDS,-1.081,146.23,170,,,,,,,,,,,,,,,,,,,,,,,,
6453,Tsu,1977,10,10,11,53,53.6,33,7.2,,7.2,6.6,,,,,TONGA,,TONGA TRENCH,-25.856,-175.406,170,,,,,,,,,,,,,,,,,,,,,,,,
4788,Tsu,1978,1,14,3,24,39,14,6.6,,6.6,6.2,,,7,5,JAPAN,,"JAPAN:  TOKKAIDO, OSHIMA",34.809,139.259,30,25,1,4,1,129,3,,3,85,2,544,3,25,1,,,129,3,,3,85,2,544,3
6599,Tsu,1978,3,22,0,50,32.2,33,6.7,,6.7,6.3,,,,4,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.026,149.002,50,,,,,,,,,,,,,,,,,,,,,,,,
6799,Tsu,1978,3,22,21,34,33.4,33,6.6,,6.6,6,,,,5,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.14,149.029,50,,,,,,,,,,,,,,,,,,,,,,,,
4796,Tsu,1978,3,23,0,31,2.1,46,6.8,,6.8,6.1,,,,5,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.209,148.971,50,,,,,,,,,,,,,,,,,,,,,,,,
4797,Tsu,1978,3,23,3,15,20.3,33,7.5,,7.5,6.4,,,,6,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.932,148.439,50,,,,,,,,,,,,,,,,,,,,,,,,
4798,Tsu,1978,3,24,19,47,50.7,33,7.6,,7.6,6.5,,,,6,RUSSIA,,RUSSIA:  KURIL ISLANDS,44.244,148.862,50,,,,,,,,,,,,,,,,,,,,,,,,
